상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
ANF 미니오 베이비,퍼피,ALL,주식,건식,,,한국,호주,29%,19%,6%,8%,11%,1%,0.9%,0%,0%,,"['닭고기', '유기농쌀', '정제계유', '연어', '유기농옥수수', '아마씨', '유기농보리', '천연향미제(액상)', '해바라기씨박', '천연향미제(고형)', '유기농현미', '어분', '유기농참깨박', '옵티셀', 'SHP', '탄산칼슘', '유카추출물', '인산칼슘', '염화콜린', 'L-라이신', 'DL-메티오닌', '정제염', '맥반석', '유기농 메밀', '유기농 녹두', '구연산', '비타민프리믹스(비타민 A, C, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '엔자임', '타우린', 'FOS']"
ANF 미니오 주니어,퍼피,ALL,주식,건식,,,호주,호주,27%,16%,6%,8%,11%,0.9%,0.7%,0%,0%,,"['연어', '정제계유', '유기농 쌀', '유기농 식물성단백질', '유기농 옥수수', '유기농 비트펄프', '아마씨', '유기농 대두박', '유기농 귀리', '유기농 보리', '천연향미제(액상)', '해바라기씨박', '천연향미제(고형)', '유기농 현미', 'SHP', '유기농 참깨박', '어분', '맥반석', '탄산칼슘', '인산칼슘', '염화콜린', '유카추출물', 'L-라이신', 'DL-메치오닌', '유기농 메밀', '유기농 녹두', '정제염', '비타민프리믹스(비타민 A, C, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', 'FOS', '타우린', '구연산']"
ANF 미니오 어덜트,어덜트,ALL,주식,건식,,,한국,호주,25%,14%,6%,8%,11%,0.8%,0.65%,0%,0%,,"['연어', '유기농 쌀', '정제계유', '유기농 식물성단백질', '유기농 옥수수', '유기농 대두박', '유기농 비트펄프', '아마씨', '유기농 귀리', '유기농 보리', '천연향미제(액상)', '해바라기씨박', '유기농 현미', '천연향미제(고형)', '유기농 참깨박', '어분', 'SHP', '맥반석', '탄산칼슘', '인산칼슘', '염화콜린', '유카추출물', 'L-라이신', 'DL-메티오닌', '유기농 메밀', '유기농 녹두', '정제염', 'L-카르니틴', '비타민프리믹스(비타민 A, C, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', 'FOS', '콘드로이친', '글루코사민', '타우린', '구연산']"
ANF 미니오 시니어,시니어,ALL,주식,건식,,,한국,호주,22%,10%,6%,8%,10%,0.7%,0.6%,0%,0%,,"['연어', '유기쌀', '유기옥수수', '유기보리', '유기귀리', '유기식물성 단백질', '유기비트펄프', '정제계유', '유기대두박', '유기현미', '유기 해바라기씨박', '유기참깨박', '천연액상향미제', '유기아마씨', '천연향미제', '유기해바라기씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '유기녹두', '유기메밀', '맥반석', '유카추출물', '메티오닌', '라이신', '천일염', 'L-카르니틴', '타우린', '콘드로이틴', '글루코사민']"
ANF 95% 유기농 치킨,전연령,ALL,주식,건식,,,한국,호주,25%,10%,6%,8%,0%,1%,1.2%,0%,0%,,"['마이즈글루텐', '대두박', '현미', '닭고기', '통밀', '보리', '해바라기 분말', '아마인', '비트펄프', '들깨박', '해바라기씨', '녹두', '통메밀', '고구마', '당근', '호박', '호박씨', '천연향', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '암염', '인산칼슘', '맥반석', '비타민 C']"
ANF 95% 유기농 양고기,전연령,ALL,주식,건식,,1Cm,한국,호주,23%,8%,6%,8%,0%,1%,1.2%,0%,0%,,"['마이즈글루텐', '대두박', '현미', '보리', '닭고기 분말', '양고기 분말', '통밀', '해바라기 분말', '아마인', '비트펄프', '들깨박', '해바라기씨', '녹두', '통메밀', '고구마', '당근', '호박', '호박씨', '천연향(닭기름)', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '암염', '인산칼슘', '맥반석', '비타민 C']"
ANF 유기농 연어 & 감자,전연령,ALL,주식,건식,,0.7Cm,한국,호주,26%,12%,6%,8%,8%,1%,1.2%,0%,0%,,"['오리고기', '연어분', '동물성가수분해단백질', '양고기육분', '친환경쌀', '유기농 식물성단백질', '유기농 통소맥', '정제계유', '유기농 비트펄프', '유기농 대두박', '유기농 현미', '감자', '유기농 쌀', '유기농 소맥', '유기농 해바라기씨박', '치즈분말', '맥반석', '유기농 녹두', '유기농 메밀', '유기농 고구마', '인산칼슘', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '천일염', '유카추출물', '야채믹스(토마토, 브로콜리, 파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고)', '타우린', '구연산', '유산균', '등']"
ANF 유기농 오리 & 귀리,전연령,ALL,주식,건식,,,한국,호주,26%,12%,6%,8%,0%,1%,1.2%,0%,0%,,"['오리고기', '동물성가수분해단백질', '양고기육분', '연어분', '유기농 통귀리', '정제계유', '유기농 대두박', '유기농 비트펄프', '유기농 현미', '유기농 쌀', '유기농 소맥', '유기농 해바라기씨박', '유기농 보리', '유기농 아마씨', '유기농 참깨박', '유기농 해바라기씨', '치즈분말', '맥반석', '유기농 고구마', '유기농 녹두', '유기농 메밀', '인산칼슘', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '천일염', '유카추출물', '야채믹스(토마토, 브로콜리, 파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고)', '타우린', '구연산', '유산균', '등']"
ANF 유기농 6 free 오리고기,전연령,ALL,주식,건식,,0.8Cm,한국,호주,26%,10%,6%,8%,0%,1%,1.2%,0%,0%,,"['오리고기', '가수분해동물성단백질', '닭고기분말', '연어분말', '유기농 쌀', '유기농 식물성 단백질', '정제계유', '유기농 비트펄프', '유기농 귀리', '유기농 현미', '유기농 소맥', '유기농 해바라기씨박', '유기농 보리', '유기농 아마씨', '유기농 참깨박', '유기농 대두박', '유기농 해바라기씨', '유기농 녹두', '치즈분말', '유기농 메밀', '유기농 고구마', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3']"
ANF 유기농 6 free 연어,전연령,ALL,주식,건식,,0.9Cm,한국,호주,26%,10%,6%,8%,0%,1%,1.2%,0%,0%,,"['연어', '가수분해동물성단백질', '닭고기 분말', '연어분', '유기농 쌀', '유기농 식물성 단백질', '정제계유', '유기농 비트펄프', '유기농 귀리', '유기농 현미', '유기농 소맥', '유기농 해바라기씨박', '유기농 보리', '유기농 아마씨', '유기농 참깨박', '유기농 대두박', '유기농 해바라기씨', '유기농 녹두', '치즈분말', '유기농 메밀', '유기농 고구마', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3']"
ANF 유기농 6 free 양고기,전연령,ALL,주식,건식,,0.8Cm,한국,호주,26%,10%,6%,8%,0%,1%,1.2%,0%,0%,,"['양고기 분말', '가수분해동물성단백질', '닭고기 분말', '연어분', '유기농 쌀', '유기농 식물성 단백질', '정제계유', '유기농 비트펄프', '유기농 귀리', '유기농 현미', '유기농 소맥', '유기농 해바라기씨박', '유기농 보리', '유기농 아마씨', '유기농 참깨박', '유기농 대두박', '유기농 해바라기씨', '유기농 녹두', '치즈분말', '유기농 메밀', '유기농 고구마', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3']"
ANF 미니오 베이비 (오프라인 전용),퍼피,ALL,주식,건식,,,한국,호주,28%,14%,6%,8%,0%,1%,1.2%,0%,0%,,"['양고기 육분', '흰살생선어분', '오리고기분말', '동물성가수분해단백질', '친환경 쌀', '유기농 식물성 단백질', '정제계유', '유기농 대두박', '유기농 비트펄프', '유기농 소맥', '유기농 보리', '유기농 현미', '유기농 아마씨', '치즈분말', '유기농 쌀', '연어유', '유기농 참깨박', '유기농 해바라기씨박', '유기농 해바라기씨', '유기농 고구마', '맥반석', '유기농 녹두', '유기농 메밀', '인산칼슘', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '천일염', '유카추출물', '야채믹스(토마토, 브로콜리, 파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고)', '타우린', '구연산', '프락토올리고당', '초유성분분말', '유산균', '등']"
ANF 미니오 주니어 (오프라인 전용),퍼피,ALL,주식,건식,,,한국,호주,26%,12%,6%,8%,0%,1%,1.2%,0%,0%,,"['친환경 쌀', '양고기육분', '흰살생선어분', '오리고기', '동물성가수분해단백질', '유기농 식물성 단백질', '정제계유', '유기농 현미', '유기농 비트펄프', '유기농 대두박', '유기농 쌀', '유기농 소맥', '유기농 해바라기씨박', '유기농 보리', '유기농 아마씨', '치즈분말', '유기농 참깨박', '연어유', '유기농 해바라기씨', '유기농 고구마', '유기농 녹두', '유기농 메밀', '맥반석', '인산칼슘', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, K3, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '천일염', '유카추출물', '야채믹스(토마토, 브로콜리, 파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고)', '타우린', '구연산', '프락토올리고당', '유산균', '등']"
ANF 미니오 어덜트 (오프라인 전용),어덜트,ALL,주식,건식,,,한국,호주,24%,10%,6%,8%,0%,1%,1.2%,0%,0%,,"['친환경 쌀', '양고기육분', '흰살생선어분', '오리고기', '동물성가수분해단백질', '유기농식물성단백질', '정제계유', '유기농 현미', '유기농 쌀', '유기농 소맥', '유기농 비트펄프', '유기농 해바라기씨박', '유기농 보리', '유기농 아마씨', '치즈분말', '유기농 참깨박', '유기농 대두박', '연어유', '유기농 해바라기씨', '유기농 고구마', '유기농 녹두', '유기농 메밀', '맥반석', '인산칼슘', '유기농 당근', '유기농 호박', '유기농 호박씨', '비타민믹스(비타민 A, D3, E, B1, B2, B5, B6, 엽산, 나이아신, 비오틴)', '비타민 K3', '철', '구리', '아연', '셀레늄', '망간', '코발트', '요오드', '인산칼슘', '염화콜린', '천일염', '유카추출물', '야채믹스(토마토, 브로콜리, 파슬리, 비트, 블루베리, 바나나, 딸기, 사과, 오렌지, 망고)', '타우린', '구연산', '프락토올리고당', '유산균', '등']"
ANF 프리미엄 AD 22,전연령,ALL,주식,건식,,1Cm,미국,호주,22%,10%,4%,8%,0%,1.1%,1.5%,0%,0%,,"['옥수수', '가금산물', '밀', '가금육', '닭기름(토코페롤 및 팔미트산 아스코르빌의 혼합물로 보존)', '아마인', '천연닭고기향', '소금', '비타민 A', '비타민 D3', '비타민 E', '비타민 B12', '리보플라빈', 'DL-메티오닌', '나이아신', '판토텐산칼슘', '염화콜린', '중아황산메나디온복합체(비타민 K 공급원)', '엽산', '비오틴', '일질산티아민(비타민 B1)', '염산피리독신(비타민 B6)', '아셀렌나트륨(셀레늄공급원)', '요오드칼슘(요오드공급원)', '황산제1철(철분공급원)', '황산망간', '황산아연', '황산구리', '등']"
ANF 어드밴티지 AD 27,전연령,ALL,주식,건식,,1.1Cm,미국,호주,27%,13%,3.5%,8.5%,0%,1%,1.5%,0%,0%,,"['황색 옥수수 가루', '가금류 부산물 가루', '닭지방(토코페롤 및 팔미트산 아스코르빌의 혼합물로 보존)', '생선 가루', '비트 펄프', '통밀 가루', '아마인', '천연 닭고기 향', '인산 이칼슘', '염화 칼륨', '소금', '비타민 A 보충제', '비타민 D3 보충제', '비타민 E 보충제', '비타민 B12 보충제', '리보플라빈 보충제', 'DL-메티오닌', '나이아신', '탄로텐산 칼슘 염화콜린 메나디온 아황산수소 나트륨 복합체(비타민 K 활성소 공급원)', '엽산', '비오틴', '티아민', '인질산', '피리독신']"
ANF 로우 액티비티 & 시니어,시니어,ALL,주식,건식,,,미국,호주,24%,10%,4%,8%,0%,1.1%,1.5%,0%,0%,,"['현미', '치킨밀', '비트펄프', '귀리', '닭지방(토코페롤 및 팔미트산 아스코리빌의 혼합물을 보존제로 사용)', '천연향', '효모', '건조계란', '소금', '탄산칼슘', '쌀겨', '생선', '아마인', '닭연골', '레시틴', '생선오일', 'L-라이신', 'DL-메티오닌', '유카시디게라 추출물', '염화콜린', '염화칼륨', '황산철(철 공급원)', '비타민E', '황산아연', '황산망간', '비오틴', '황산동', '비타민 A', '나이아신', '판토텐산칼슘', '리보플라빈(비타민 B2)', '비타민 B12', '아스코르브산', '피리독신 염화수소(비타민B6)', '일질산티아민(비타민B2)', '비타민 D3', '옥소산칼슘(요오드공급원)', '중아황산나트륨 메나디온 복합체(비타민  K 활성소공급원)', '엽산', '셀렌산나트륨(셀렌공급원)', '등']"
ANF 치킨어덜트,어덜트,ALL,주식,건식,,0.7Cm,미국,호주,26%,15%,3.5%,8.5%,0%,1.2%,1.5%,0%,0%,,"['닭고기 분말', '양조용 쌀', '통옥수수 분말', '닭기름(토코페롤 및 팔미트산 아스코르빌의 혼합물을 보존제로 사용)', '비트펄프', '천연향', '양조용 효모', '소금', '건조 계란', '레시틴', '생선 분말', '옥수수 글루텐 분말', '리신(필수 아미노산)', '생선 기름', '메티오닌(필수 아미노산)', '유카 시디게라 추출물', '염화콜린', '염화칼륨', '황산철(철 공급원)', '비타민 E', '황산아연', '황산망간', '비오틴', '황산 동', '비타민 A', '나이아신', '판토테산 칼슘', '리보플라빈(비타민 B2)', '비타민 B12', '아스코르브산', '피리독신 염화수소(비타민 B6)', '일질산 티아민(비타민 B1)', '비타민 D3', '옥소산 칼슘(요오드 공급원)', '중아황산나트륨메나디온 복합제(비타민 K 활성소 공급원)', '엽산', '셀렌산 나트륨(셀렌 공급원)', '등']"
ANF 퍼피,퍼피,ALL,주식,건식,,0.6Cm,미국,호주,33%,18%,3%,8.5%,0%,1.2%,1.5%,0%,0%,,"['닭고기 분말', '양조용 쌀', '통옥수수 분말', '닭기름(토코페롤 및 팔미트산 아스코리빌의 혼합물로 보존)', '통밀가루', '비트펄프', '천연향', '맥주 효모', '계란 분말', '소금', '탄산칼슘', '레시친', '생선 분말', '옥수수 글루텐 분말', '염화칼륨', '리진(필수 아미노산)', '생선 기름', '메티오닌(필수 아미노산)', '유카 시디게라 추출물', '염화콜린', '황산 철(철 공급원)', '비타민 E', '황산 아연', '황산 망간', '비오틴', '황산 동', '비타민 A', '나이아신', '판토테산 칼슘', '리보플라빈(비타민 B2)', '비타민 B12', '아스코르브산', '피리독신 염화수소(비타민 B6)', '일질산 티아민(비타민 B1)', '비타민 D3', '옥소산 칼슘(요오드 공급원)', '중아황산나트륨메나디온 복합체(비타민 K 활성소 공급원)', '엽산', '셀렌산 나트륨(셀렌 공급원)', '등']"
ANF 램 프리미엄 28,전연령,ALL,주식,건식,,0.8Cm,호주,호주,28%,12%,4.5%,11%,0%,1.5%,2%,0%,0%,,"['밀', '양고기', '쌀', '쌀겨', '닭고기', '닭기름', '건조효모', '천연 양고기향', '염화콜린', '아스코르브산칼슘(비타민 C)', '킬레이트아연아미노산', '비타민 E', '글루코사민', '킬레이트 철아미노산', '킬레이트 망간아미노산', '킬레이트 코발트아미노산', '비오틴', '아세트산 비타민 A', '판토테산 칼슘', '나이아신', '피리독신염화수소(B6)', '일질산티아민(B1)', '비타민 B12', '비타민 D3', '리보플라빈', 'DL-메티오닌', '중아황산나트륨메나디온 복합체(비타민 K 공급원)', '엽산', '킬레이트구리아미노산', '셀렌산 나트륨', '옥소산 칼슘', '등']"
ANF 더블미트 연어 포 독,전연령,ALL,주식,건식,,0.8Cm,호주,호주,30%,12%,8%,10%,11%,1%,0.4%,0%,0%,,"['동물성단백질(연어)', '동물성단백질(메기어분)', '쌀', '마이즈글루텐', '정제계유', '천연향미제', '유기농현미', '유기농 귀리', '유기농 해바라기박', '유기농 보리', '유기농 쌀', '비트펄프', '유기농 참깨박', '유기농 아마씨', '탄산칼슘', '인산칼슘', '셀룰로스', '천연 맛', '유기농 해바라기씨', '유기농 녹두', '유기농 메밀', '유기농 고구마', 'L-라이신', 'DL-메치오닌', '소금', '유기농 당근', '유기농 호박', '유카추출물', '비타민 프리믹스', '미네랄 프리믹스', '유기농 호박씨', '맥반석', '이눌린', '로즈마리추출물', '비타민C(*유기농 함량 18.12%)']"
ANF 더블미트 양고기 포 독,전연령,ALL,주식,건식,,0.8Cm,호주,호주,30%,12%,8%,10%,11%,1%,0.4%,0%,0%,,"['동물성단백질(양고기)', '연어분(9%)', '동물성단백질(메기어분)', '마이즈글루텐', '쌀', '정제계유', '천연향미제', '유기농 현미', '유기농 귀리', '유기농 해바라기박', '유기농 보리', '유기농 쌀', '비트펄프', '유기농 참깨박', '유기농 아마씨', '셀룰로스', '천연 맛', '유기농 해바라기씨', '탄산칼슘', '인산칼슘', '유기농 녹두', '유기농 메밀', '유기농 고구마', 'L-라이신', 'DL-메치오닌', '소금', '유기농 당근', '유기농 호박씨', '유카추출물', '비타민 프리믹스', '미네랄 프리믹스', '유기농 호박씨', '맥반석', '이눌린', '로즈마리추출물', '비타민C(*유기농 함량 18.12%)']"
